160,4,69.30579531442663,1974,1,3,3,0,4,0,10,2,2,4,5,4,5,1973,1973,1,1,5,5,2,0.0,3,4,1,3,3,3,1,334.0,5,0.0,212.0,546.0,0,4,1,4,546,546,0,1092,0.0,0.0,1,1,3,1,3,6,6,0,2,1,1,1.0,286.0,4,4,2,120,96,0,0,0,0,0,5,2010,8,4
50,3,60.0,7008,1,3,3,0,0,0,17,2,2,0,0,4,8,1900,1998,1,1,8,8,2,0.0,3,2,0,1,0,3,5,0.0,5,0.0,448.0,448.0,0,0,1,4,448,272,0,720,0.0,0.0,1,0,1,1,1,5,6,0,2,1,2,1.0,280.0,1,4,2,0,0,70,0,0,0,0,3,2006,8,4
20,3,80.0,8800,1,3,3,0,4,0,12,2,2,0,2,6,6,1964,1964,3,1,6,6,1,425.0,3,4,1,3,3,3,1,553.0,5,0.0,698.0,1251.0,0,4,1,4,1251,0,0,1251,1.0,0.0,1,0,3,1,3,6,6,2,2,1,1,1.0,461.0,4,4,2,0,116,0,0,0,0,700,3,2006,8,4
90,4,57.0,10307,1,3,3,0,4,0,17,2,2,2,5,6,5,1910,1950,1,1,13,14,2,0.0,3,4,1,3,3,2,3,633.0,5,0.0,339.0,972.0,0,2,0,0,972,972,0,1944,1.0,0.0,2,0,4,2,3,12,6,0,2,5,2,2.0,324.0,1,4,0,0,28,169,0,0,0,0,6,2009,8,4
90,3,80.0,8000,1,3,3,0,0,0,12,0,2,2,2,5,4,1961,1961,1,1,3,3,2,0.0,3,4,1,3,3,3,5,0.0,5,0.0,1800.0,1800.0,0,0,0,4,1800,0,0,1800,0.0,0.0,2,0,6,2,3,10,6,0,2,1,2,0.0,0.0,4,4,2,0,0,0,0,0,0,0,7,2007,8,4
20,3,66.0,7920,1,3,3,0,4,0,12,2,2,0,2,5,5,1970,2002,1,1,6,6,1,32.0,3,4,1,3,3,3,0,81.0,2,619.0,214.0,914.0,0,0,1,4,914,0,0,914,0.0,0.0,1,0,3,1,0,5,6,0,2,1,1,1.0,368.0,4,2,2,120,0,0,0,0,0,0,10,2007,8,4
20,3,60.0,7200,1,3,3,0,0,0,12,2,2,0,2,5,7,1951,2000,1,1,13,14,2,0.0,3,4,1,3,3,2,1,234.0,4,486.0,180.0,900.0,0,4,1,4,900,0,0,900,0.0,1.0,1,0,3,1,2,5,6,0,2,5,2,2.0,576.0,4,4,2,222,32,0,0,0,0,0,5,2010,8,4
190,4,76.0,7630,1,3,3,0,4,0,17,1,2,1,5,5,9,1900,1996,1,1,13,14,2,0.0,3,2,0,2,3,3,5,0.0,5,0.0,360.0,360.0,0,2,1,4,1032,780,0,1812,0.0,0.0,2,0,4,2,2,8,6,1,3,5,2,2.0,672.0,4,4,0,344,0,40,0,0,0,0,5,2010,8,4
70,4,60.0,9720,1,3,3,0,4,0,17,2,2,0,5,6,7,1910,2002,1,1,8,8,2,0.0,3,4,2,3,3,3,5,0.0,5,0.0,741.0,741.0,0,0,1,4,780,741,0,1521,0.0,0.0,1,0,4,1,2,8,6,0,2,5,2,3.0,640.0,4,4,2,0,0,238,0,0,0,0,9,2009,8,4
160,4,21.0,1680,1,3,3,0,4,0,2,2,2,3,5,6,5,1973,1973,1,1,6,6,1,158.0,3,4,1,3,3,3,1,330.0,5,0.0,153.0,483.0,0,4,1,4,483,504,0,987,1.0,0.0,1,1,2,1,3,5,6,0,2,5,2,1.0,264.0,4,4,2,0,0,0,0,0,0,0,11,2008,8,4
80,3,80.0,9600,1,3,3,0,4,0,12,2,2,0,7,6,6,1955,1996,3,1,0,0,2,0.0,3,4,1,3,3,0,1,831.0,5,0.0,161.0,992.0,0,2,1,4,1661,0,0,1661,1.0,0.0,1,0,3,1,2,8,6,1,4,3,1,1.0,377.0,4,4,2,0,28,0,0,178,0,0,10,2008,8,4
20,3,60.0,7436,1,3,3,0,4,0,12,2,2,0,2,4,7,1960,1960,1,1,12,13,2,0.0,3,4,1,3,3,3,0,734.0,5,0.0,160.0,894.0,0,2,1,4,894,0,0,894,1.0,0.0,1,0,2,1,3,5,6,1,3,5,2,2.0,396.0,4,4,2,0,0,0,360,0,0,0,8,2009,8,4
120,1,25.0,4835,1,0,3,0,1,0,21,2,2,4,2,7,5,2004,2005,1,1,8,8,2,0.0,2,4,2,0,3,0,2,1298.0,5,0.0,190.0,1488.0,0,0,1,4,1488,0,0,1488,1.0,0.0,2,0,2,1,2,6,6,1,2,1,0,2.0,506.0,4,4,2,168,50,0,0,0,0,0,3,2010,8,4
70,3,120.0,13728,1,3,3,0,0,0,7,2,2,0,5,6,7,1935,1986,3,1,11,12,2,0.0,3,4,1,3,3,3,4,626.0,5,0.0,501.0,1127.0,0,0,1,4,1236,872,0,2108,0.0,0.0,2,0,4,1,2,7,6,2,4,2,2,2.0,540.0,4,4,2,0,0,0,0,90,0,0,7,2008,8,4
